,lead_time,no_of_special_requests,avg_price_per_room,arrival_month,arrival_date,market_segment_type,no_of_week_nights,no_of_weekend_nights,room_type_reserved,type_of_meal_plan,booking_status
70,134,1,76.58,5,9,4,4,1,0,0,1
71,1,0,80.0,1,18,4,0,1,0,0,1
72,75,1,127.8,7,30,4,1,0,3,0,1
73,100,1,140.0,9,28,3,4,0,0,1,1
74,91,0,116.1,6,18,4,1,1,0,3,0
75,22,0,95.0,10,11,3,3,0,0,0,1
76,13,0,153.0,8,24,4,1,1,5,0,1
77,32,0,73.0,11,20,3,2,0,0,0,1
78,63,1,126.9,6,9,4,3,0,0,0,0
79,26,0,127.2,9,5,4,3,1,0,0,0
80,296,1,117.0,9,21,4,4,0,0,1,0
81,8,0,95.0,4,5,4,1,0,0,0,0
82,7,0,130.67,8,13,4,1,2,0,0,0
83,263,0,110.0,10,21,3,2,0,0,0,0
84,140,0,70.0,12,29,3,5,0,0,0,1
85,131,0,94.5,8,15,3,1,2,0,1,1
86,6,0,137.0,3,3,4,3,0,0,0,0
87,219,1,145.1,9,13,4,2,0,0,0,0
88,19,0,75.0,7,18,3,1,1,0,3,1
89,16,4,142.0,10,1,4,2,0,0,0,1
90,57,0,75.0,9,16,3,2,0,0,0,1
91,7,1,152.0,9,14,4,2,1,0,0,1
92,18,1,65.0,10,18,2,1,0,0,0,1
93,31,1,64.67,11,14,4,5,2,0,0,1
94,6,0,85.0,8,28,3,1,2,0,0,1
95,148,0,67.0,12,30,3,4,1,0,0,1
96,63,3,118.33,11,10,4,3,0,0,3,1
97,178,0,94.62,8,23,4,3,0,1,0,0
98,151,0,71.0,1,19,3,4,0,0,0,1
99,93,2,72.25,12,3,4,3,1,0,0,1
100,102,2,86.4,12,6,4,2,0,0,0,0
101,167,1,72.25,8,4,3,3,2,0,0,1
102,57,1,103.8,10,30,4,1,2,0,0,1
103,181,2,76.5,8,6,4,2,0,1,0,0
104,245,0,107.59,9,22,4,5,2,0,0,0
105,49,0,80.75,6,3,3,2,0,0,0,1
106,71,0,120.0,6,14,3,3,0,0,0,1
107,44,0,75.0,2,17,3,3,0,0,0,1
108,2,0,63.75,6,26,3,3,2,0,3,1
109,147,2,106.25,6,28,4,5,2,0,0,1
110,0,0,223.0,5,19,4,1,0,3,0,0
111,44,0,67.5,2,12,4,2,0,0,3,0
112,116,0,59.5,3,25,4,2,2,0,0,0
113,11,1,126.0,5,8,4,1,2,3,0,1
114,129,1,114.3,8,6,4,1,0,0,0,1
115,13,1,85.29,8,27,4,5,2,1,0,0
116,186,0,80.75,9,2,3,2,2,0,0,1
117,20,2,93.0,2,7,4,1,2,0,0,1
118,12,0,95.0,2,15,4,3,1,0,0,1
119,10,0,80.75,12,5,4,1,1,0,0,1
120,102,0,59.5,11,7,3,2,1,0,3,0
121,7,0,94.0,8,8,2,0,1,3,0,1
122,26,3,124.0,9,12,4,1,2,0,0,1
123,106,1,90.95,4,17,4,2,2,3,0,1
124,320,1,115.0,8,18,3,2,0,0,1,0
125,0,1,69.0,11,30,4,7,3,0,0,1
126,13,0,81.0,3,8,4,2,0,0,3,1
127,15,0,103.44,4,27,4,3,0,0,0,0
128,270,0,80.0,4,20,3,4,0,0,0,1
129,102,0,89.25,10,16,4,2,1,0,0,1
130,102,0,87.0,10,16,3,2,0,0,1,1
131,1,0,65.0,9,30,2,1,0,0,0,1
132,78,1,95.0,9,29,3,3,0,0,0,1
133,112,0,100.0,6,2,3,2,0,0,0,1
134,273,0,109.0,7,17,3,2,0,0,1,0
135,25,2,129.0,10,17,4,2,1,0,0,1
136,72,0,79.65,10,30,4,2,2,0,3,0
137,93,2,76.5,8,15,4,3,2,0,0,0
138,91,0,114.3,7,6,4,1,0,0,0,1
139,24,1,71.69,9,11,4,0,2,0,3,1
140,5,0,66.0,2,28,2,0,2,0,0,1
141,6,0,88.0,12,1,4,1,0,0,3,1
142,57,1,135.9,8,10,4,2,0,0,0,1
143,14,0,0.0,9,17,4,2,0,0,1,1
144,12,0,75.2,12,14,4,1,0,0,0,1
145,5,0,73.15,11,15,4,0,1,0,3,1
146,99,0,81.0,2,19,2,1,0,0,0,1
147,97,1,109.81,4,30,4,5,2,0,0,1
148,56,1,85.85,3,28,4,5,1,0,0,0
149,60,1,123.3,9,3,4,1,1,3,0,0
150,8,1,85.35,10,29,4,1,2,0,3,1
151,198,1,159.3,9,22,4,3,0,3,0,0
152,163,1,72.25,8,21,3,6,4,0,1,1
153,19,1,117.81,9,23,4,2,1,0,0,1
154,20,0,80.0,11,14,3,2,1,0,0,1
155,3,0,98.8,9,7,3,1,1,0,0,1
156,1,0,51.5,2,7,3,1,2,3,0,1
157,30,1,79.6,1,31,4,0,2,3,0,1
158,118,0,110.0,6,6,3,1,1,0,0,1
159,386,1,115.0,10,23,4,0,2,0,1,0
160,186,2,102.6,9,30,4,2,2,0,3,0
161,304,0,89.0,11,3,4,3,0,0,0,0
162,2,0,55.0,3,2,3,1,0,3,0,1
163,12,0,75.0,10,5,3,2,1,3,0,1
164,9,3,201.0,8,1,4,0,1,5,0,1
165,183,0,187.5,8,16,4,5,0,3,1,0
166,79,1,37.33,7,7,1,3,0,0,0,1
167,256,0,100.75,10,16,4,3,2,0,0,0
168,97,1,96.3,4,8,4,2,0,0,0,1
169,175,0,112.63,8,31,4,4,0,0,0,0
170,69,1,57.52,10,28,4,1,0,0,3,1
171,10,1,95.0,9,1,3,1,0,0,0,1
172,0,0,62.8,12,24,3,3,2,0,0,1
173,122,0,86.0,3,27,3,1,2,0,1,1
174,11,1,95.48,3,16,4,3,0,3,0,1
175,67,1,125.1,8,13,4,1,0,0,3,1
176,42,1,106.8,11,25,4,3,0,0,0,1
177,4,0,109.0,1,2,3,1,2,0,1,1
178,4,0,59.0,1,25,2,0,1,0,0,1
179,133,0,88.5,4,29,4,2,1,0,3,0
180,74,0,55.24,2,17,4,4,1,0,0,1
181,2,0,102.7,8,2,4,1,0,0,0,1
182,135,2,94.5,5,22,4,0,2,0,3,1
183,128,1,105.4,5,4,3,3,0,0,0,1
184,0,0,89.0,5,9,4,0,1,0,3,1
185,6,0,81.0,8,23,4,0,1,0,3,1
186,38,0,85.0,12,2,2,2,0,0,0,1
187,20,0,156.0,5,11,4,1,0,3,0,0
188,240,2,90.95,10,27,4,3,1,0,0,1
189,34,2,74.8,11,14,4,5,2,0,0,0
190,79,0,75.0,11,13,3,2,0,0,0,1
191,126,2,125.45,5,15,4,3,2,3,0,1
192,4,1,88.0,12,14,4,1,0,0,0,1
193,31,1,125.1,10,4,4,1,0,0,0,1
194,2,0,75.0,9,20,3,1,2,3,0,1
195,35,0,84.24,6,1,4,2,0,0,3,0
196,147,1,127.93,7,3,4,2,2,3,0,1
197,176,2,137.7,8,9,4,3,0,3,0,0
198,0,0,65.0,5,23,2,0,1,0,0,1
199,22,2,206.0,6,13,4,3,1,5,0,1
200,31,1,135.9,7,27,4,2,0,0,0,0
201,73,1,149.4,9,19,4,3,1,3,0,0
202,2,0,98.0,3,22,4,2,0,0,3,1
203,83,0,75.0,12,18,3,0,2,0,0,1
204,8,0,101.0,2,6,2,1,0,6,0,1
205,11,1,80.3,1,20,4,2,0,0,0,1
206,192,0,94.5,8,3,4,2,0,0,3,0
207,39,2,130.9,12,8,4,8,2,3,0,1
208,188,0,130.0,6,15,4,2,0,0,0,0
209,64,0,70.46,3,10,4,13,6,0,3,0
210,39,2,96.3,10,23,4,1,0,0,0,1
211,47,0,119.52,9,18,4,2,2,3,0,1
212,74,0,109.0,9,18,3,2,0,0,1,1
213,27,2,195.5,8,8,4,1,1,0,0,1
214,256,1,115.0,6,15,3,2,0,0,1,0
215,267,0,95.0,9,30,3,2,1,0,0,0
216,33,1,120.6,10,3,4,0,1,0,3,1
217,47,1,86.35,3,11,4,2,2,0,0,1
218,54,0,117.9,7,3,4,1,2,0,0,0
219,95,0,80.75,5,6,3,2,1,0,0,1
220,89,1,87.3,4,1,4,2,0,0,0,1
221,104,0,150.3,8,24,4,4,0,3,0,0
222,156,1,106.89,8,12,4,6,2,0,0,0
223,213,0,130.0,6,7,3,3,0,0,0,0
224,44,1,66.29,2,21,4,5,2,0,3,1
225,86,1,90.95,4,25,4,3,1,0,0,1
226,78,1,108.45,4,6,4,4,0,3,0,1
227,76,1,140.4,5,12,4,3,0,3,0,1
228,170,1,112.2,8,11,4,3,2,3,0,0
229,4,0,67.5,1,16,4,1,1,0,3,1
230,131,0,94.5,8,15,3,1,2,0,1,0
231,19,0,115.0,3,3,4,1,0,0,3,0
232,97,0,84.43,5,1,4,4,2,0,3,0
233,0,1,129.0,6,17,4,1,0,0,3,1
234,275,0,90.0,10,5,3,4,1,0,0,0
235,16,1,111.75,10,1,4,3,1,0,0,1
236,146,0,95.0,4,24,3,0,2,0,0,0
237,35,0,73.1,3,2,4,2,0,0,3,0
238,20,0,70.42,12,28,4,2,1,3,0,1
239,191,0,132.0,6,3,3,2,1,0,0,0
240,36,1,68.07,12,10,4,6,2,0,0,1
241,105,1,114.3,7,7,4,3,1,0,0,1
242,10,0,110.0,9,30,0,1,0,3,0,0
243,6,1,87.27,10,30,4,2,1,0,0,1
244,167,0,96.3,8,26,4,2,1,0,0,0
245,138,0,142.2,8,18,4,2,0,3,0,0
246,3,0,185.57,4,7,4,2,0,6,0,1
247,33,1,149.0,10,26,4,4,0,0,0,0
248,290,0,72.0,6,17,3,2,1,0,0,0
249,246,0,104.55,12,26,4,3,1,3,0,1
250,75,0,90.0,4,17,4,0,2,0,3,1
251,12,0,55.72,2,6,4,2,2,0,3,1
252,14,1,91.0,2,7,4,2,2,0,0,0
253,7,0,58.0,12,9,3,3,0,0,0,1
254,4,0,55.0,11,27,3,2,1,0,0,1
255,177,0,84.39,8,22,4,5,2,0,3,0
256,176,0,108.9,10,7,4,2,0,0,0,0
257,5,0,167.0,8,21,4,0,1,0,0,0
258,308,1,78.3,11,23,4,3,0,0,0,0
259,88,0,112.2,10,5,3,1,1,0,1,1
260,4,0,80.0,2,19,2,1,0,0,0,0
261,188,1,80.75,7,23,4,5,2,0,3,1
262,46,1,96.16,3,13,4,5,3,3,0,0
263,9,1,67.0,10,13,2,2,0,0,0,1
264,9,2,194.0,6,27,4,3,1,3,1,1
265,0,0,75.0,10,3,2,0,1,0,0,1
266,235,2,105.3,8,6,4,1,1,0,0,0
267,96,0,82.45,8,11,3,2,0,3,0,1
268,135,1,79.72,5,9,4,4,1,0,0,0
269,101,0,80.0,4,4,3,2,1,0,0,0
270,212,1,78.0,5,20,3,3,2,0,0,1
271,28,2,75.0,9,27,3,1,0,0,0,1
272,13,0,75.0,3,20,3,0,1,0,0,1
273,306,3,104.4,8,14,4,1,2,0,0,1
274,51,1,83.3,3,21,4,3,1,1,3,1
275,177,0,80.75,10,14,3,2,1,0,0,1
276,17,0,142.54,11,6,4,2,2,0,3,1
277,45,2,151.2,8,30,4,3,0,3,0,1
278,244,2,94.5,12,21,4,2,0,0,0,0
279,100,1,136.0,5,19,4,3,1,0,0,1
280,41,0,76.5,3,15,4,1,0,0,0,0
281,192,0,95.0,6,24,3,2,0,0,0,1
282,24,0,157.0,6,22,4,2,0,3,0,0
283,29,1,129.0,10,20,4,2,0,0,0,0
284,18,2,12.0,9,2,4,3,0,0,0,1
285,104,1,91.48,10,18,4,4,0,0,0,1
286,4,2,133.33,10,28,4,2,1,0,3,1
287,34,0,122.4,6,19,4,1,2,3,0,0
288,64,2,65.36,1,19,4,2,0,0,3,1
289,1,0,85.0,1,23,4,1,0,0,0,1
290,138,1,71.67,7,2,4,2,2,0,0,1
291,12,1,118.5,8,31,4,2,0,0,3,1
292,28,2,104.5,8,30,4,4,0,0,3,1
293,164,0,100.0,10,2,3,2,0,0,0,1
294,20,0,65.0,6,29,2,1,0,0,0,1
295,5,0,80.0,12,18,3,2,2,0,0,1
296,9,0,67.5,1,14,4,2,0,0,3,1
297,12,1,89.0,1,15,4,2,1,0,0,1
298,102,0,101.5,10,16,3,2,0,0,1,0
299,48,2,93.5,3,20,4,2,2,0,0,1
300,7,2,241.0,5,25,4,2,0,5,0,1
301,55,0,104.0,4,6,3,1,0,0,1,1
302,90,0,112.88,9,7,3,3,0,3,0,1
303,50,1,123.3,9,2,4,2,1,3,0,0
304,81,0,59.5,3,18,3,2,2,0,0,1
305,275,0,62.8,6,4,3,1,1,0,0,0
306,113,0,100.0,5,31,2,3,0,0,0,0
307,18,1,142.43,8,27,4,5,2,3,0,0
308,141,1,72.76,5,23,4,0,1,0,3,1
309,29,0,98.0,4,12,4,3,0,0,3,0
310,50,1,108.0,10,19,4,1,0,0,3,0
311,20,0,67.0,12,4,2,0,2,0,0,1
312,39,0,101.5,8,14,3,2,0,0,1,1
313,2,0,89.0,3,30,4,1,0,0,3,1
314,40,0,135.76,4,22,4,5,2,3,0,0
315,69,0,123.98,9,1,4,6,2,0,3,0
316,3,0,119.0,8,17,2,4,1,0,0,0
317,2,0,99.14,8,19,4,5,2,0,0,1
318,143,0,106.0,7,18,2,3,1,4,0,1
319,377,1,115.0,10,14,3,2,0,0,1,0
320,0,0,15.0,7,10,4,0,1,0,0,1
321,14,1,139.0,2,14,4,5,2,3,0,1
322,144,0,95.4,6,2,4,3,0,0,3,1
323,1,1,74.25,1,4,4,1,1,1,0,1
324,4,0,93.0,2,20,4,1,0,0,0,1
325,101,0,70.0,4,4,3,2,1,0,0,0
326,296,1,117.0,9,21,3,4,0,0,1,0
327,0,0,124.0,8,10,4,3,1,0,0,1
328,143,0,100.0,8,25,3,3,0,0,0,1
329,109,3,131.4,8,11,4,3,1,3,0,1
330,92,1,89.25,10,6,4,5,0,0,0,1
331,13,0,96.0,4,26,3,3,0,0,1,1
332,224,2,128.7,10,23,4,1,2,3,0,0
333,386,1,115.0,10,23,3,0,2,0,1,0
334,161,0,130.0,3,25,3,2,1,0,1,0
335,36,0,214.75,8,21,4,0,1,6,0,0
336,21,0,196.0,4,11,4,1,1,5,0,0
337,81,2,89.25,10,24,4,3,2,0,0,1
338,28,1,144.8,5,20,4,2,1,3,0,1
339,237,0,80.75,9,14,4,2,1,0,0,0
340,46,1,98.1,9,7,4,1,0,0,0,1
341,137,0,133.2,8,23,4,4,0,3,0,0
342,85,0,100.0,9,30,3,3,0,0,1,1
343,34,1,66.0,2,17,3,4,1,0,0,1
344,0,1,141.0,5,12,4,1,0,0,0,1
345,30,0,139.28,10,2,4,2,2,0,0,0
346,37,0,95.0,10,13,3,3,0,0,0,1
347,13,1,151.0,8,6,4,1,0,0,0,1
348,113,0,138.55,7,1,4,6,2,3,0,0
349,155,0,142.83,10,20,4,3,0,3,0,0
350,4,2,109.0,3,11,4,2,1,0,0,1
351,43,1,72.0,12,2,3,2,0,0,0,1
352,232,2,110.7,12,5,4,2,1,3,0,1
353,1,1,89.5,12,18,4,0,1,0,0,1
354,142,1,128.7,7,1,4,2,0,3,0,1
355,9,1,107.0,11,12,4,3,1,3,0,1
356,160,0,106.75,8,8,4,5,2,0,3,0
357,177,0,100.0,6,3,3,2,0,0,0,0
358,0,1,182.33,5,27,4,2,0,3,0,0
359,3,0,75.0,12,4,4,1,0,0,3,1
360,20,2,115.6,6,8,4,2,0,3,0,1
361,0,0,91.59,8,16,4,2,0,0,3,1
362,92,1,187.85,6,1,4,4,0,5,0,1
363,276,0,95.0,9,22,4,3,0,0,0,0
364,44,1,95.0,4,23,3,1,2,0,0,1
365,27,0,85.0,5,4,3,1,0,0,0,1
366,61,1,78.9,2,29,4,2,1,0,0,0
367,61,0,68.85,7,8,4,8,2,0,0,0
368,83,0,75.0,5,1,3,1,2,0,0,1
369,172,1,79.03,7,4,4,4,1,0,0,1
370,48,1,108.0,10,4,4,3,0,0,3,0
371,37,1,69.5,2,12,4,2,1,1,0,1
372,92,0,90.95,4,7,3,3,1,3,0,1
373,0,0,95.0,6,20,0,3,1,0,0,1
374,0,1,0.0,9,28,1,1,0,3,0,1
375,60,0,143.1,4,30,4,1,1,0,0,0
376,188,0,105.3,8,13,4,1,1,0,0,0
377,1,2,136.0,6,11,4,1,1,3,0,1
378,28,2,96.3,10,12,4,2,1,0,0,1
379,39,0,109.0,8,14,3,2,0,0,1,1
380,10,0,129.0,6,29,4,2,0,0,3,0
381,5,1,130.0,8,20,4,1,0,0,0,1
382,7,1,90.0,8,17,4,2,1,0,0,1
383,1,0,75.0,11,29,3,1,0,0,0,1
384,14,0,89.0,4,19,4,1,0,0,3,0
385,137,1,147.9,7,29,4,7,3,3,1,1
386,76,2,129.0,6,17,4,2,2,0,0,1
387,20,0,58.0,12,27,3,1,2,0,0,1
388,105,0,75.0,4,6,3,1,0,0,0,0
389,11,0,94.5,8,15,3,1,2,0,1,1
390,23,0,96.0,3,10,4,3,1,0,0,0
391,164,0,100.0,10,2,3,2,0,0,0,0
392,189,0,72.25,8,8,3,3,1,0,0,1
393,105,3,72.25,11,26,4,3,0,0,0,1
394,52,0,145.24,10,23,4,3,2,4,0,0
395,145,0,94.5,8,1,4,1,1,0,3,1
396,81,0,190.29,7,11,4,5,2,3,1,1
397,6,1,169.93,9,12,4,1,1,3,0,1
398,10,1,89.0,4,3,4,0,2,0,3,1
399,54,0,140.4,6,4,4,1,0,3,0,0
400,176,0,125.1,9,8,3,3,0,0,0,0
401,68,0,125.1,9,16,4,1,0,0,3,0
402,50,2,127.8,10,4,4,2,0,0,0,1
403,1,0,98.0,8,9,4,0,2,0,0,1
404,150,0,80.1,10,30,4,0,2,0,3,0
405,135,0,90.0,9,14,3,2,1,0,0,1
406,111,0,120.0,10,10,3,0,1,0,0,0
407,3,0,138.5,7,11,3,1,2,0,1,1
408,122,2,76.5,7,13,4,0,1,0,0,0
409,40,1,158.4,10,2,4,0,1,3,0,1
410,204,2,93.22,8,15,4,10,5,0,0,0
411,119,0,112.5,6,28,4,1,0,0,0,0
412,240,0,140.4,9,30,4,2,0,3,0,0
413,96,3,108.0,10,3,4,1,1,0,3,1
414,131,0,108.0,10,10,4,0,1,0,3,0
415,247,1,115.0,6,6,3,1,1,0,1,0
416,137,1,79.72,5,22,4,3,2,0,0,1
417,18,1,146.0,5,10,4,3,0,3,0,1
418,52,0,132.9,7,8,4,2,1,0,0,0
419,304,0,89.0,11,3,3,3,0,0,0,0
420,73,0,145.93,7,2,4,10,4,3,0,0
421,142,1,138.55,8,8,4,4,1,3,0,1
422,88,0,98.18,4,26,4,4,0,0,0,0
423,94,0,117.9,8,23,4,2,0,0,0,0
424,57,1,90.67,6,10,3,2,1,0,0,1
425,61,0,63.58,3,19,3,2,2,0,0,1
426,276,0,116.33,9,22,3,3,0,0,0,0
427,117,1,72.25,7,27,3,4,1,0,0,1
428,6,1,90.2,2,7,3,2,2,0,0,1
429,76,0,80.75,9,17,4,4,2,0,0,1
430,83,2,112.59,9,28,4,1,0,0,3,1
431,89,1,87.3,4,8,4,2,1,0,0,1
432,166,0,110.0,11,1,3,3,0,0,0,0
433,10,0,110.0,5,29,2,5,3,0,0,1
434,250,0,95.0,9,26,3,3,1,0,0,0
435,9,0,0.0,4,6,4,1,0,0,1,1
436,273,0,95.0,5,13,4,2,1,0,0,0
437,85,2,73.95,3,17,4,3,2,0,0,1
438,79,0,88.5,4,17,4,1,2,0,3,0
439,30,0,140.0,6,2,3,2,0,0,0,1
440,0,0,99.2,9,7,3,1,1,0,0,1
441,5,0,100.0,5,24,2,2,0,0,0,1
442,14,1,98.11,12,28,4,5,2,0,3,1
443,12,3,184.0,2,24,4,4,0,3,1,1
444,95,3,103.7,12,21,4,5,2,0,0,1
445,80,0,136.0,10,9,3,2,0,3,1,1
446,52,1,207.9,9,14,4,3,0,5,0,0
447,64,0,93.5,3,18,4,2,2,0,0,1
448,11,1,129.75,7,25,4,2,1,0,0,1
449,178,0,124.5,8,18,4,3,0,0,0,0
450,0,0,161.0,7,25,4,2,1,0,0,1
451,224,0,102.25,8,8,3,2,1,0,1,0
452,7,2,138.0,9,11,4,2,0,0,0,1
453,0,0,163.18,5,18,2,1,0,0,0,0
454,260,0,113.4,9,22,4,3,0,0,3,0
455,1,1,95.0,11,5,4,2,0,0,3,1
456,172,0,80.75,6,27,4,4,1,0,3,0
457,219,0,72.25,8,17,3,3,0,0,0,1
458,50,0,79.56,7,13,3,4,2,0,0,0
459,14,2,184.0,9,22,4,1,0,3,0,1
460,0,0,0.0,10,1,1,1,0,0,0,1
461,156,1,72.25,7,16,3,2,2,0,0,1
462,211,0,100.0,5,20,3,2,0,0,0,0
463,40,0,75.0,10,28,3,3,0,3,0,1
464,229,0,70.44,10,27,4,3,0,0,0,0
465,7,1,156.0,6,16,4,4,2,3,0,0
466,60,0,65.0,9,21,3,1,1,0,0,1
467,143,0,0.0,4,24,4,0,0,0,0,1
468,0,2,0.0,12,12,1,0,1,0,0,1
469,193,0,120.0,6,20,3,2,1,0,0,0
470,61,1,72.24,10,26,3,1,1,0,0,1
471,6,1,126.0,5,9,4,1,1,3,0,1
472,87,2,181.16,7,9,4,5,2,5,0,1
473,119,0,90.9,4,15,4,2,0,0,0,1
474,72,1,53.95,9,19,4,3,1,3,0,1
475,5,0,64.0,2,2,3,3,0,0,0,1
476,5,0,82.35,11,28,4,1,1,0,3,1
477,16,0,76.0,3,8,2,2,0,3,0,1
478,104,1,77.03,7,16,4,1,1,0,0,1
479,170,1,96.3,6,28,4,3,0,0,0,1
480,75,0,80.0,3,17,3,3,1,0,0,0
481,0,0,55.08,2,12,4,1,0,0,0,1
482,7,0,95.0,4,4,4,0,1,0,0,1
483,12,2,134.33,7,19,4,3,0,0,0,1
484,110,0,95.0,6,26,4,1,2,0,0,0
485,15,0,60.0,12,27,3,1,0,0,0,1
486,18,1,75.0,1,21,4,2,0,0,3,1
487,245,0,110.0,7,6,3,4,2,0,0,0
488,30,0,149.4,5,11,4,4,0,3,0,0
489,79,1,95.2,4,4,4,3,1,3,0,1
490,61,1,75.0,11,23,3,3,0,0,0,1
491,235,0,106.25,10,27,4,3,1,0,0,0
492,3,0,131.0,7,24,4,0,1,0,0,1
493,0,1,45.0,10,28,3,1,0,0,0,1
494,38,0,112.59,9,26,4,1,1,0,3,0
495,100,0,38.67,3,25,3,2,1,0,0,1
496,19,1,95.0,10,27,2,1,0,0,0,1
497,94,0,146.7,6,30,4,2,0,3,0,0
498,13,0,156.0,5,6,4,2,0,3,0,1
499,84,1,60.98,11,5,4,1,0,0,3,1
500,6,0,54.0,2,28,3,0,2,0,0,1
501,80,1,80.33,3,17,4,3,1,0,0,1
502,94,0,96.3,3,9,4,3,0,3,0,1
503,71,1,87.13,4,3,4,2,2,0,0,1
504,38,3,77.23,11,2,4,4,0,3,0,1
505,122,1,105.3,5,12,4,2,0,0,0,1
506,2,1,78.2,11,6,3,5,2,3,0,1
507,86,1,105.4,4,25,4,5,3,0,0,0
508,47,0,90.3,2,18,4,3,0,3,0,1
509,1,0,71.7,1,27,4,2,0,0,0,1
510,44,0,98.8,12,2,4,2,0,0,0,0
511,0,2,135.5,10,1,4,2,0,0,0,1
512,0,0,75.0,3,24,3,1,0,0,0,1
513,99,0,65.0,10,30,4,2,2,0,0,0
514,25,2,89.89,12,10,4,2,2,0,0,1
515,75,0,80.0,3,17,4,3,1,0,0,0
516,102,0,40.67,1,3,3,1,2,0,0,1
517,0,0,101.18,7,23,4,1,0,0,0,1
518,17,2,135.0,10,7,4,1,0,0,3,1
519,19,2,174.0,9,15,4,2,0,3,0,1
520,42,0,88.2,3,22,4,1,0,0,3,1
521,49,0,63.75,3,8,4,4,0,0,3,0
522,77,1,115.8,4,18,4,2,1,3,0,1
523,0,3,129.0,8,30,4,3,0,0,3,1
524,9,0,82.92,3,30,4,1,0,0,0,1
525,77,1,125.1,6,18,4,1,1,0,0,1
526,95,1,65.83,4,14,4,1,0,0,3,1
527,177,1,80.75,7,26,4,4,0,0,3,0
528,67,0,75.0,12,2,3,2,1,0,0,1
529,33,1,131.88,11,6,4,3,2,0,0,1
530,18,1,61.53,11,20,4,2,2,0,3,1
